# stat_desc_map.tsv - generated by poe_tools.py (build-stat-desc)
# generated: 2026-09-15T15:29:39Z
# Format: stat_id TAB template TAB arg_index TAB group_ids
# template placeholders: {0} {1} = stat values; wiki links stripped
# arg_index: which {N} this stat fills (0=first, 1=second, ...)
# group_ids: comma-separated group (multi-stat entries share a template)
%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100	Consuming Glory grants you {0}% increased Attack damage per Glory consumed for 6 seconds, up to 60%	0	%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100
%_chance_for_crossbow_reload_to_be_instant	{0}% chance when you Reload a Crossbow to be immediate	0	%_chance_for_crossbow_reload_to_be_instant
%_chance_to_apply_hounded_by_wisps_on_hit	Chance to inflict 1 Faerie Fire on Hit@{0}	0	%_chance_to_apply_hounded_by_wisps_on_hit
%_chance_to_blind_on_critical_strike	{0}% chance to Blind Enemies on Critical Hit	0	%_chance_to_blind_on_critical_strike
%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth	Critical Hits have {0}% chance to Blind Enemies while you have Cat's Stealth	0	%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth
%_chance_to_cause_bleeding_enemies_to_flee_on_hit	{0}% Chance to cause Bleeding Enemies to Flee on hit	0	%_chance_to_cause_bleeding_enemies_to_flee_on_hit
%_chance_to_create_smoke_cloud_on_mine_or_trap_creation	{0}% chance to create a Smoke Cloud when you lay a Mine or throw a Trap	0	%_chance_to_create_smoke_cloud_on_mine_or_trap_creation
%_chance_to_deal_150%_area_damage_+%_final	Hits have {0}% chance to deal 50% more Area Damage	0	%_chance_to_deal_150%_area_damage_+%_final
%_chance_to_duplicate_dropped_currency	Basic Currency Items dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_currency
%_chance_to_duplicate_dropped_divination_cards	Divination Cards dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_divination_cards
%_chance_to_duplicate_dropped_gems	Gems dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_gems
%_chance_to_duplicate_dropped_maps	Maps dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_maps
%_chance_to_duplicate_dropped_scarabs	Scarabs dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_scarabs
%_chance_to_duplicate_dropped_sentinels	{}% chance for found Sentinels to be Duplicated	0	%_chance_to_duplicate_dropped_sentinels
%_chance_to_duplicate_dropped_uniques	Unique Items dropped by slain Enemies have {0}% chance to be Duplicated	0	%_chance_to_duplicate_dropped_uniques
%_chance_to_gain_endurance_charge_each_second_while_channelling	{0}% chance to gain an Endurance Charge each second while Channelling	0	%_chance_to_gain_endurance_charge_each_second_while_channelling
%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Frenzy Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life	{0}% chance to gain a Power Charge on Hit against Enemies that are on Full Life	0	%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life
%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Power Charge when your Mine is Detonated targeting an Enemy	0	%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_power_charge_on_placing_a_totem	{0}% chance to gain a Power Charge when you Summon a Totem	0	%_chance_to_gain_power_charge_on_placing_a_totem
%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain a Power Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance, Frenzy or Power Charge when any\nof your Traps are Triggered by an Enemy	0	%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy
%_maximum_life_as_focus	Enemies have Maximum Concentration equal to {0}% of their Maximum Life	0	%_maximum_life_as_focus
%_maximum_life_inflicted_as_aoe_fire_damage_when_hit	Deal {0}% of your maximum Life as Fire Damage to nearby Enemies when Hit	0	base_%_maximum_life_inflicted_as_aoe_fire_damage_when_hit
%_number_of_raging_spirits_allowed	{0}% increased Maximum number of Summoned Raging Spirits	0	%_number_of_raging_spirits_allowed
%_of_life_regeneration_applies_to_totems	{}% of your Life Regeneration applies to your Totems aswell	0	%_of_life_regeneration_applies_to_totems
%_of_physical_hit_damage_you_deal_causes_additional_blood_loss	{0}% of Physical damage dealt by your Hits causes Blood Loss	0	%_of_physical_hit_damage_you_deal_causes_additional_blood_loss
%_physical_damage_bypasses_energy_shield	Physical Damage taken bypasses Energy Shield	0	%_physical_damage_bypasses_energy_shield
+%_faster_start_of_energy_shield_recharge_per_X_maximum_ward	1% faster start of Energy Shield Recharge per {0} maximum Runic Ward	0	+%_faster_start_of_energy_shield_recharge_per_X_maximum_ward
+1_max_charged_attack_stages	+1 to maximum Blade Flurry stages	0	+1_max_charged_attack_stages
+1_spirit_per_X_energy_shield_on_body_armour	+1 to Spirit for every {0} Item Energy Shield on Equipped Body Armour	0	+1_spirit_per_X_energy_shield_on_body_armour
+1_spirit_per_X_evasion_rating_on_body_armour	+1 to Spirit for every {0} Evasion Rating on Equipped Body Armour	0	+1_spirit_per_X_evasion_rating_on_body_armour
+_deflection_rating_per_10_maximum_ward	+{0} to Deflection Rating per 10 maximum Runic Ward	0	+_deflection_rating_per_10_maximum_ward
+_deflection_rating_per_50_missing_maximum_energy_shield	{0:+d} to Deflection Rating per 50 missing Energy Shield	0	+_deflection_rating_per_50_missing_maximum_energy_shield
X_accuracy_per_2_intelligence	{0:+d} Accuracy Rating per 2 Intelligence	0	X_accuracy_per_2_intelligence
X_armour_if_you_have_blocked_recently	{0:+d} Armour if you've Blocked Recently	0	X_armour_if_you_have_blocked_recently
X_armour_per_active_totem	{0:+d} Armour per Summoned Totem	0	X_armour_per_active_totem
X_armour_per_stackable_unique_jewel	Gain {0} Armour per Grand Spectrum	0	X_armour_per_stackable_unique_jewel
X_life_per_4_dexterity	{0:+d} Life per 4 Dexterity	0	X_life_per_4_dexterity
X_mana_per_4_strength	{0:+d} Mana per 4 Strength	0	X_mana_per_4_strength
X_mana_per_stackable_unique_jewel	Gain {0} Mana per Grand Spectrum	0	X_mana_per_stackable_unique_jewel
X_to_armour_per_2_strength	{0:+d} Armour per 2 Strength	0	X_to_armour_per_2_strength
absolution_blast_chance_to_summon_on_hitting_rare_or_unique_%	{0}% chance to Summon a Sentinel of Absolution on Hitting a Rare or Unique Enemy	0	absolution_blast_chance_to_summon_on_hitting_rare_or_unique_%
absolution_cast_speed_+%	{0}% increased Absolution Cast Speed	0	absolution_cast_speed_+%
absolution_duration_+%	{0}% increased Sentinel of Absolution Duration	0	absolution_duration_+%
absolution_minion_area_of_effect_+%	Summoned Sentinels of Absolution have {0}% increased Area of Effect	0	absolution_minion_area_of_effect_+%
abyss_socketable_movement_speed_is_only_base_+%_per_15_spirit_up_to_+40%	{0}% increased Movement Speed per 15 Spirit, up to a maximum of 40%\nOther Modifiers to Movement Speed except for Sprinting do not apply	0	abyss_socketable_movement_speed_is_only_base_+%_per_15_spirit_up_to_+40%
abyssal_cry_%_max_life_as_chaos_on_death	Explosion deals Chaos Damage equal to {0}% of the Monster's maximum Life	0	abyssal_cry_%_max_life_as_chaos_on_death
abyssal_cry_damage_+%	{0}% increased Infernal Cry Damage	0	abyssal_cry_damage_+%
abyssal_cry_duration_+%	{0}% increased Abyssal Cry Duration	0	abyssal_cry_duration_+%
abyssal_cry_movement_velocity_+%_per_one_hundred_nearby_enemies	{0}% increased Movement Speed per Nearby Enemy	0	abyssal_cry_movement_velocity_+%_per_one_hundred_nearby_enemies
abyssal_wasting_also_blinds	Targets affected by Abyssal Wasting you inflict are Blinded	0	abyssal_wasting_also_blinds
abyssal_wasting_also_debilitates	Targets affected by Abyssal Wasting you inflict are Debilitated	0	abyssal_wasting_also_debilitates
abyssal_wasting_also_hinders	Targets affected by Abyssal Wasting you inflict are Hindered	0	abyssal_wasting_also_hinders
abyssal_wasting_also_prevents_enemies_from_applying_elemental_ailments	Abyssal Wasting you inflict also prevents targets from inflicting Elemental Ailments	0	abyssal_wasting_also_prevents_enemies_from_applying_elemental_ailments
abyssal_wasting_also_prevents_enemies_from_dealing_critical_strikes	Abyssal Wasting you inflict also prevents targets from dealing Critical Hits	0	abyssal_wasting_also_prevents_enemies_from_dealing_critical_strikes
abyssal_wasting_cold_resistance_%	Abyssal Wasting also applies {0:+d}% to Cold Resistance	0	abyssal_wasting_cold_resistance_%
abyssal_wasting_effect_+%	{0}% increased Magnitude of Abyssal Wasting you inflict	0	abyssal_wasting_effect_+%
abyssal_wasting_fire_resistance_%	Abyssal Wasting also applies {0:+d}% to Fire Resistance	0	abyssal_wasting_fire_resistance_%
abyssal_wasting_infinite_duration	Abyssal Wasting you inflict has Infinite Duration	0	abyssal_wasting_infinite_duration
abyssal_wasting_instant_life_leech_%	{0}% of Life Leeched from targets affected by Abyssal Wasting is Instant	0	abyssal_wasting_instant_life_leech_%
abyssal_wasting_instant_mana_leech_%	{0}% of Mana Leeched from targets affected by Abyssal Wasting is Instant	0	abyssal_wasting_instant_mana_leech_%
abyssal_wasting_lightning_resistance_%	Abyssal Wasting also applies {0:+d}% to Lightning Resistance	0	abyssal_wasting_lightning_resistance_%
abyssal_wasting_on_hit	Inflict Abyssal Wasting on Hit	0	abyssal_wasting_on_hit
accuracy_range_penalty_+%	{0}% increased Accuracy penalty based on distance	0	accuracy_range_penalty_+%
accuracy_rating	{0:+d} to Accuracy Rating	0	accuracy_rating
accuracy_rating_+%	{0}% increased Accuracy Rating	0	accuracy_rating_+%
accuracy_rating_+%_during_onslaught	{0}% increased Accuracy Rating while you have Onslaught	0	accuracy_rating_+%_during_onslaught
