# unique_ivi_name_map.tsv - generated by poe_tools.py (build-item-names)
# generated: 2026-06-26T14:25:15Z
# Robust unique key: the game exposes the item's ItemVisualIdentity
# row at Base+0x30; its Id string (column 0) is this key.
# columns: ivi_id	unique_name
FourUniqueAmulet1	Igniferis
FourUniqueAmulet10_	Ligurium Talisman
FourUniqueAmulet12	Rondel of Fragility
FourUniqueAmulet13	The Anvil
FourUniqueAmulet14	Yoke of Suffering
FourUniqueAmulet15	Astramentis
FourUniqueAmulet16	Fixation of Yix
FourUniqueAmulet17	Beacon of Azis
FourUniqueAmulet18	Fireflower
FourUniqueAmulet19_	Eye of Chayula
FourUniqueAmulet2	Idol of Uldurn
FourUniqueAmulet20	Serpent's Egg
FourUniqueAmulet21	Hinekora's Sight
FourUniqueAmulet22	Eventide Petals
FourUniqueAmulet23	Immaculate Adherence
FourUniqueAmulet3	The Everlasting Gaze
FourUniqueAmulet4	Ungil's Harmony
FourUniqueAmulet5	Revered Resin
FourUniqueAmulet6	Carnage Heart
FourUniqueAmulet7	Surefooted Sigil
FourUniqueAmulet8	Defiance of Destiny
FourUniqueAmulet9	Stone of Lazhwar
FourUniqueBelt1	Meginord's Girdle
FourUniqueBelt10	Goregirdle
FourUniqueBelt12	Ryslatha's Coil
FourUniqueBelt13	Coward's Legacy
FourUniqueBelt15	Bijouborne
FourUniqueBelt17_	Waistgate
FourUniqueBelt18__	Headhunter
FourUniqueBelt19_	Cat O' Nine Tails
FourUniqueBelt2	Midnight Braid
FourUniqueBelt21_	Shavronne's Satchel
FourUniqueBelt23	Darkness Enthroned
FourUniqueBelt24	Mageblood
FourUniqueBelt3	Keelhaul
FourUniqueBelt4	Umbilicus Immortalis
FourUniqueBelt5	Birthright Buckle
FourUniqueBelt6	Brynabas
FourUniqueBelt8_	Soul Tether
FourUniqueBelt9	Infernoclasp
FourUniqueBodyDex10	Queen of the Forest
FourUniqueBodyDex11	Yriel's Fostering
FourUniqueBodyDex15	Hyrri's Ire
FourUniqueBodyDex16_	The Auspex
