# skill_name_map.tsv - generated by poe_tools.py (build-item-names)
# generated: 2026-09-15T15:29:38Z
# GrantedEffects.Id (read live from memory) -> ActiveSkills.DisplayedName.
# columns: granted_effect_id	displayed_name	icon_ddsfile
AbyssalLivingBomb	Untether	Art/2DArt/SkillIcons/AbyssalLivingBomb.dds
AbyssalPactPlayer	Abyssal Pact	Art/2DArt/SkillIcons/AbyssDeathPactSkill.dds
AcidicConcoctionPlayer	Acidic Concoction	Art/2DArt/SkillIcons/RangerBrewConcoctionPoisonSkill.dds
AlchemistsBoonPlayer	Alchemist's Boon	Art/2DArt/SkillIcons/AlchemistsBoonSkill.dds
AlignFatePlayer	Align Fate	Art/2DArt/SkillIcons/DruidOracleSpellfluxSkill.dds
AmazonTriggerElementalSurgePlayer	Elemental Surge	Art/2DArt/SkillIcons/AmazonElementalInfusionSkillIcon.dds
AncestralCryPlayer	Ancestral Cry	Art/2DArt/SkillIcons/WarriorAncestralCry.dds
AncestralCryProjectilePlayer	Volcanic Eruption	Art/2DArt/SkillIcons/VolcanicEruptionSkillIcon.dds
AncestralCryShockwavePlayer	Volcanic Steps	Art/2DArt/SkillIcons/WarriorAncestralCry.dds
AncestralIkiahoArcticBreath	Creeping Frost	Art/2DArt/SkillIcons/arcticbreath.dds
AncestralSpiritsPlayer	Ancestral Spirits	Art/2DArt/SkillIcons/BruteWarbringerDefenders.dds
AncestralWarriorTotemPlayer	Ancestral Warrior Totem	Art/2DArt/SkillIcons/BruteAncestralWarriorTotem.dds
AncestralWarriorTotemRogueExileWarrior2	Ancestral Warrior Totem	Art/2DArt/SkillIcons/BruteAncestralWarriorTotem.dds
AncientGiftsPlayer	Wildwood's Gifts	Art/2DArt/SkillIcons/TheHollowMaskSkill.dds
AnimusExchangePlayer	Animus Exchange	Art/2DArt/SkillIcons/ExpeditionAnimusExhange.dds
ApocalypseColdPlayer	Hailstorm	Art/2DArt/SkillIcons/ShamanUnleashHailstorm.dds
ApocalypseFirePlayer	Meteor	Art/2DArt/SkillIcons/ShamanUnleashMeteor.dds
ApocalypseLightningPlayer	Crash Lightning	Art/2DArt/SkillIcons/ShamanUnleashLightningStrike.dds
ApocalypsePlayer	Apocalypse	Art/2DArt/SkillIcons/DruidShamanUnleashtheElementsSkill.dds
ApplyTangmazuSwarmAuraPlayer	Winged Entropy	Art/2DArt/SkillIcons/iconbasicattack.dds
ArcPlayer	Arc	Art/2DArt/SkillIcons/SorceressArc.dds
ArcSkeletonMageMinion	Arc	Art/2DArt/SkillIcons/SorceressArc.dds
ArchmagePlayer	Archmage	Art/2DArt/SkillIcons/ArchmageSkill.dds
ArchnemesisConsecrate	Consecrate	Art/2DArt/BuffIcons/consecrated.dds
ArchnemesisDesecrate	Desecrate	Art/2DArt/SkillIcons/Desecrate.dds
ArchnemesisElementalWeakness	Elemental Weakness	Art/2DArt/SkillIcons/elementalweakness.dds
ArchnemesisEnfeeble	Enfeeble	Art/2DArt/SkillIcons/enfeeble.dds
ArchnemesisFrostWall	Frost Wall	Art/2DArt/SkillIcons/IceWall.dds
ArchnemesisFrostWallMagic	Frost Wall	Art/2DArt/SkillIcons/IceWall.dds
ArchnemesisPunishment	Punishment	Art/2DArt/SkillIcons/punishment.dds
ArchnemesisTemporalChains	Temporal Chains	Art/2DArt/SkillIcons/temporalchains.dds
ArchnemesisVulnerability	Vulnerability	Art/2DArt/SkillIcons/vulnerability.dds
ArchonOfChayulaPlayer	Archon of Chayula	Art/2DArt/SkillIcons/AcolyteOfChayulaSpecialNodeSkill.dds
ArchonOfChayulaTornadoPlayer	Chayula's Will	Art/2DArt/SkillIcons/AcolyteOfChayulaSpecialNodeSkill.dds
ArcticArmourPlayer	Arctic Armour	Art/2DArt/SkillIcons/SorceressArcticArmour.dds
ArmourBreakerPlayer	Armour Breaker	Art/2DArt/SkillIcons/BruteHeavyStrike.dds
ArmourBreakerRogueExileWarrior2	Armour Breaker	Art/2DArt/SkillIcons/BruteHeavyStrike.dds
ArmourPiercingBoltsAmmoPlayer	Load Armour Piercing Rounds	Art/2DArt/SkillIcons/RapidShotPhysical.dds
ArmourPiercingBoltsPlayer	Armour Piercing Rounds	Art/2DArt/SkillIcons/RapidShotPhysical.dds
ArtilleryBallistaPlayer	Artillery Ballista	Art/2DArt/SkillIcons/MercRipwireBallista.dds
ArtilleryBallistaRogueExileMercenary2	Siege Ballista	Art/2DArt/SkillIcons/MercArtilleryBallista.dds
AttributeEssenceCrystalStorm	Firestorm	Art/2DArt/SkillIcons/WitchFirestorm.dds
AttritionPlayer	Attrition	Art/2DArt/SkillIcons/AttritionSkill.dds
AtziriBeastDash	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
AtziriBeastTeleport	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
AtziriElementalSpearCombo	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
AtziriSpinningFlameWall	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
AxeChopPlayer	[DNT-UNUSED] Axe Chop	Art/2DArt/SkillIcons/passives/axedmg.dds
AxeExecutePlayer	[DNT-UNUSED] Axe Execute	Art/2DArt/SkillIcons/passives/AxeNotable1.dds
AxeHeavyCleavePlayer	[DNT-UNUSED] Axe Heavy Cleave	Art/2DArt/SkillIcons/passives/StudiousCombatant.dds
AxeLeapingChopPlayer	[DNT-UNUSED] Axe Leaping Chop	Art/2DArt/SkillIcons/passives/AxesandAttackSpeed.dds
AxeRaisedChopPlayer	[DNT-UNUSED] Axe Raised Chop	Art/2DArt/SkillIcons/passives/MeleeSplashNode.dds
AxeSlashPlayer	[DNT-UNUSED] Axe Slash	Art/2DArt/SkillIcons/passives/damageaxe.dds
AxeWhirlingSlashPlayer	[DNT-UNUSED] Axe Whirling Slash	Art/2DArt/SkillIcons/passives/cleavage.dds
AzmeriFabricationDespair	Despair	Art/2DArt/SkillIcons/Despair.dds
AzmeriFabricationEnfeeble	Enfeeble	Art/2DArt/SkillIcons/enfeeble.dds
AzmeriFabricationTemporalChains	Temporal Chains	Art/2DArt/SkillIcons/temporalchains.dds
AzmeriPictBowRainOfSpores	Toxic Rain	Art/2DArt/SkillIcons/RainOfSpores.dds
AzmerianSwarmAttack	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
AzmerianSwarmPlayer	Azmerian Swarms	Art/2DArt/SkillIcons/FluttermothSkillIcon.dds
BalbalaCloneKnifeThrow	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BalbalaCloneMelee	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BalbalaReverseKnifeFirestorm	Firestorm	Art/2DArt/SkillIcons/WitchFirestorm.dds
BalbalaWhirl	Whirling Blades	Art/2DArt/SkillIcons/iconbladeflurry.dds
BallLightningPlayer	Ball Lightning	Art/2DArt/SkillIcons/SorceressBallLightning.dds
BallLightningRogueExileSorceress2	Ball Lightning	Art/2DArt/SkillIcons/SorceressBallLightning.dds
BanditExplosiveArrow	Explosive Arrow	Art/2DArt/SkillIcons/fusearrow.dds
BarkskinPlayer	Barkskin	Art/2DArt/SkillIcons/DruidBarkSkin.dds
BarragePlayer	Barrage	Art/2DArt/SkillIcons/RangerBarrageSkill.dds
BarrageRogueExileRanger1	Barrage	Art/2DArt/SkillIcons/RangerBarrageSkill.dds
BearFuryOfTheMountainPlayer	Fury of the Mountain	Art/2DArt/SkillIcons/DruidFuryoftheMountain.dds
BearLandslidePlayer	[DNT] Landslide	Art/2DArt/SkillIcons/BruteSunder.dds
BearMaulPlayer	Maul	Art/2DArt/SkillIcons/DruidBearMaul.dds
BearRampagePlayer	Rampage	Art/2DArt/SkillIcons/DruidBearRampage.dds
BerserkPlayer	Berserk	Art/2DArt/SkillIcons/BeserkSkill.dds
BetrayalLabMelee	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BetrayalLeapSlamChampion	Leap Slam	Art/2DArt/SkillIcons/BruteLeapSlam.dds
BetrayalMassSkeletonBoneMortar	Bone Mortar	
BetrayalMassSkeletonRainOfArrows	Rain of Arrows	Art/2DArt/SkillIcons/rainofarrows.dds
BetrayalOriathSunder	Sunder	Art/2DArt/SkillIcons/ShockwaveSlam.dds
BetrayalSkeletonMelee	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BindSpectrePlayer	Bind Spectre	Art/2DArt/SkillIcons/WitchBindSpectre.dds
BitterDeadPlayer	Bitter Dead	Art/2DArt/SkillIcons/ExpeditionBitterDead.dds
BitterGuyChildFirestormLeft	Firestorm	Art/2DArt/SkillIcons/WitchFirestorm.dds
BitterGuyChildFirestormRight	Firestorm	Art/2DArt/SkillIcons/WitchFirestorm.dds
BitterGuyMelee	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BitterGuySweepMelee	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BlackPowderBlitzPlayer	Black Powder Blitz	Art/2DArt/SkillIcons/ShankgonneSkill.dds
BlackPowderBlitzReservationPlayer	Black Powder Blitz	Art/2DArt/SkillIcons/ShankgonneSkill.dds
BladeDancePlayer	[DNT-UNUSED] Blade Dance	Art/2DArt/SkillIcons/DoubleSlash.dds
BladeNovaPlayer	Ethereal Knives	Art/2DArt/SkillIcons/shadowprojectiles.dds
BlasphemyPlayer	Blasphemy	Art/2DArt/SkillIcons/WitchBlasphemy.dds
BlasphemyRogueExileWitch2	Blasphemy	Art/2DArt/SkillIcons/WitchBlasphemy.dds
BlazingClusterRogueExileSorceress1	Ember Fusillade	Art/2DArt/SkillIcons/SorceressBlazingCluster.dds
BleedingConcoctionPlayer	Bleeding Concoction	Art/2DArt/SkillIcons/RangerBrewConcoctionBleedSkill.dds
BlightNPCFirestorm	Firestorm	Art/2DArt/SkillIcons/WitchFirestorm.dds
BlinkPlayer	Blink	Art/2DArt/SkillIcons/SorceressBlinkReservation.dds
BlinkReservationPlayer	Blink	Art/2DArt/SkillIcons/SorceressBlinkReservation.dds
BlinkSandPlayer	Blink	Art/2DArt/SkillIcons/SorceressBlinkReservation.dds
BloodBatherBlazingSpear	Blazing Lance	Art/2DArt/SkillIcons/HuntressBlazingLance.dds
BloodBoilPlayer	Blood Boil	Art/2DArt/SkillIcons/PrimalistBloodBoilsSkillIcon.dds
BloodFeverBoarCharge	Table Charge	Art/2DArt/SkillIcons/iconshieldcharge.dds
BloodFeverBoarChargeTopple	Table Charge	Art/2DArt/SkillIcons/iconshieldcharge.dds
BloodFeverPoiSpin	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BloodHuntPlayer	Blood Hunt	Art/2DArt/SkillIcons/HuntressBloodHuntSkillIcon.dds
BloodKnightBlazingLance	Blazing Lance	Art/2DArt/SkillIcons/HuntressBlazingLance.dds
BloodKnightCleave	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BloodKnightCleaveEmpowered	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BloodKnightComboAttack	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BloodMageBloodTendrils	Exsanguinate	Art/2DArt/SkillIcons/BloodTendrilsSkill.dds
BloodhoundsMarkExplosionPlayer	Blood Explosion	Art/2DArt/SkillIcons/MarkoftheBloodhoundSkillIcon.dds
BloodhoundsMarkPlayer	Bloodhound's Mark	Art/2DArt/SkillIcons/MarkoftheBloodhoundSkillIcon.dds
BoneBlastPlayer	Bone Blast	Art/2DArt/SkillIcons/BoneBlastWeaponSkill.dds
BoneBlastRogueExileWitch1	Bone Blast	Art/2DArt/SkillIcons/BoneBlastWeaponSkill.dds
BoneCagePlayer	Bone Cage	Art/2DArt/SkillIcons/WitchBoneCage.dds
BoneCageRogueExileRanger1	Bone Cage	Art/2DArt/SkillIcons/WitchBoneCage.dds
BoneCultistShieldCharge	Shield Charge	Art/2DArt/SkillIcons/iconshieldcharge.dds
BoneGolemCultistComboMelee	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BoneOfferingPlayer	Bone Offering	Art/2DArt/SkillIcons/WitchBoneOffering.dds
BoneStalkerEarthquake	Earthquake	Art/2DArt/SkillIcons/BruteEarthquake.dds
BoneshatterBruteMinion	Bonebreaker	Art/2DArt/SkillIcons/BruteBoneshatter.dds
BoneshatterPlayer	Boneshatter	Art/2DArt/SkillIcons/BruteBoneshatter.dds
BonestormPlayer	Bonestorm	Art/2DArt/SkillIcons/WitchBoneStorm.dds
BonestormRogueExileWitch1	Bonestorm	Art/2DArt/SkillIcons/WitchBoneStorm.dds
BrambleHulkSlamLeap	Dash	Art/2DArt/SkillIcons/iconbasicattack.dds
BrambleRhoaTableCharge	Table Charge	Art/2DArt/SkillIcons/iconshieldcharge.dds
BriarpatchPlayer	Briarpatch	Art/2DArt/SkillIcons/DruidBriarpatch.dds
BrutusMeleeAttack	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
BurstShotArmourPiercingBoltMonster	Fragmentation Rounds	Art/2DArt/SkillIcons/BurstShotPhysical.dds
BurstShotIncendiaryBoltMonster	Incendiary Shot	Art/2DArt/SkillIcons/BurstShotIncendiary.dds
CaltropsOnDodgeRogueExileMonk2	Trail of Caltrops	Art/2DArt/SkillIcons/CaltropsOnDodgeSkillIcon.dds
CarrionCrowWhirlingBlades	Whirling Blades	Art/2DArt/SkillIcons/iconbladeflurry.dds
CentipedeReactorGuardianFireCombo	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CentipedeReactorGuardianFireComboAlt	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CentipedeReactorGuardianFireCyclone	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CentipedeReactorGuardianFireCyclone2	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CentipedeReactorGuardianLightningCombo	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CentipedeReactorGuardianLightningComboAlt	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
CentipedeReactorGuardianLightningCyclone	Basic Attack	Art/2DArt/SkillIcons/iconbasicattack.dds
ChaosFrogExplosionPlayer	Dark Consequences	Art/2DArt/SkillIcons/iconbasicattack.dds
ChaosGodOwlBossBallLightning	Ball Lightning	Art/2DArt/SkillIcons/SorceressBallLightning.dds
ChaosSpearTriggerChaosSurgePlayer	Chaotic Surge	Art/2DArt/SkillIcons/SpireofIreSkillIcon.dds
ChargeRegulationPlayer	Charge Regulation	Art/2DArt/SkillIcons/ChargeMasteryDeath.dds
ChargedStaffPlayer	Charged Staff	Art/2DArt/SkillIcons/MonkChargedStaff.dds
ChargedStaffShockwavePlayer	Charged Shockwave	Art/2DArt/SkillIcons/MonkChargedStaff.dds
